日期编号,订单编号,上车站序,上车站点名称,上车时间,下车站序,下车站点名称,下车时间
1,623,1,AB,241,14,AO,2004
1,912,1,AB,301,33,BH,3777
1,1455,1,AB,1201,45,BT,5738
1,199,1,AB,1201,36,BK,4457
1,426,1,AB,2941,39,BN,7304
1,1459,1,AB,2941,3,AD,3327
1,2223,1,AB,2941,7,AH,3874
1,1620,1,AB,2941,3,AD,3307
1,1156,1,AB,4501,34,BI,8234
1,2480,1,AB,5221,3,AD,5487
1,656,1,AB,6001,26,BA,9214
1,1169,1,AB,6001,19,AT,8581
1,589,1,AB,6061,18,AS,8476
1,2305,1,AB,6061,46,BU,11698
1,1728,1,AB,6061,46,BU,11699
1,610,1,AB,6061,18,AS,8464
1,2030,1,AB,6061,24,AY,9004
1,8,1,AB,6841,26,BA,9719
1,2040,1,AB,6841,38,BM,11131
1,2299,1,AB,7441,3,AD,7764
1,1244,1,AB,7441,43,BR,12479
1,2240,1,AB,7441,43,BR,12472
1,2220,1,AB,8101,19,AT,10405
1,2421,1,AB,8101,19,AT,10419
1,1493,1,AB,8101,28,BC,11218
1,100,1,AB,8101,43,BR,13185
1,2590,1,AB,8161,47,BV,13919
1,2256,1,AB,8161,19,AT,10424
1,254,1,AB,8821,19,AT,11244
1,993,1,AB,8821,43,BR,13869
1,2532,1,AB,8821,45,BT,14187
1,2696,1,AB,8821,43,BR,13873
1,359,1,AB,9601,44,BS,15032
1,717,1,AB,9601,9,AJ,10882
1,1512,1,AB,9601,46,BU,15260
1,1437,1,AB,9601,46,BU,15257
1,1821,1,AB,9601,9,AJ,10878
1,1469,1,AB,9601,43,BR,14916
1,2182,1,AB,10321,47,BV,16443
1,30,1,AB,10321,46,BU,16059
1,156,1,AB,10321,47,BV,16445
1,1674,1,AB,10321,45,BT,15984
1,1545,1,AB,10321,11,AL,11771
1,2651,1,AB,10321,46,BU,16055
1,1250,1,AB,10321,42,BQ,15680
1,963,1,AB,10801,44,BS,16903
1,721,1,AB,10801,48,BW,17412
1,2326,1,AB,10801,43,BR,16760
1,671,1,AB,10801,47,BV,17154
1,910,1,AB,11641,48,BW,18660
1,2,1,AB,11701,15,AP,14375
1,1099,1,AB,12361,36,BK,16985
1,2377,1,AB,12361,46,BU,18406
1,1040,1,AB,12361,36,BK,16988
1,2445,1,AB,13021,48,BW,19061
1,2139,1,AB,13741,47,BV,19887
1,1893,1,AB,13741,17,AR,16487
1,2684,1,AB,13741,19,AT,16641
1,1020,1,AB,13741,19,AT,16636
1,306,1,AB,13801,47,BV,19882
1,2029,1,AB,14341,43,BR,20099
1,284,1,AB,14341,41,BP,19721
1,2360,1,AB,14341,19,AT,17062
1,1292,1,AB,14341,8,AI,15712
1,1167,1,AB,14341,34,BI,18656
1,1070,1,AB,14341,19,AT,17073
1,496,1,AB,14341,19,AT,17089
1,679,1,AB,14341,19,AT,17018
1,750,1,AB,15001,48,BW,20966
1,2591,1,AB,15061,5,AF,15693
1,212,1,AB,15541,34,BI,19511
1,2557,1,AB,15541,9,AJ,16994
1,758,1,AB,15541,34,BI,19507
1,40,1,AB,16021,17,AR,18413
1,2417,1,AB,16501,9,AJ,18010
1,2189,1,AB,16501,3,AD,16825
1,348,1,AB,16501,5,AF,17170
1,1344,1,AB,16501,45,BT,21744
1,2492,1,AB,16501,42,BQ,21466
1,342,1,AB,17161,46,BU,21765
1,1296,1,AB,17161,43,BR,21592
1,444,1,AB,17161,8,AI,18067
1,2456,1,AB,17161,43,BR,21585
1,2437,1,AB,17641,37,BL,21958
1,189,1,AB,17641,37,BL,21970
1,603,1,AB,18181,20,AU,20897
1,150,1,AB,20581,47,BV,25565
1,1550,1,AB,20581,48,BW,25813
1,2579,1,AB,21421,18,AS,23676
1,1864,1,AB,21421,34,BI,25258
1,2198,1,AB,21421,18,AS,23667
1,1134,1,AB,21421,18,AS,23609
1,229,1,AB,22441,43,BR,27210
1,2036,1,AB,22441,12,AM,23870
1,1267,1,AB,22441,43,BR,27218
1,674,1,AB,22441,12,AM,23873
1,334,1,AB,22441,43,BR,27216
1,855,1,AB,23221,38,BM,27375
1,2323,1,AB,23221,34,BI,26735
1,12,1,AB,23281,38,BM,27290
1,2222,1,AB,23401,41,BP,27751
1,22,1,AB,23401,12,AM,24722
1,1538,1,AB,23401,8,AI,24330
1,1593,1,AB,23401,8,AI,24254
1,1579,1,AB,23401,26,BA,25988
1,152,1,AB,23461,26,BA,25977
1,1692,1,AB,24361,34,BI,27687
1,115,1,AB,26461,43,BR,31571
1,915,1,AB,26461,43,BR,31548
1,204,1,AB,27601,28,BC,30909
1,1272,1,AB,27601,48,BW,33626
1,108,1,AB,27601,28,BC,30975
1,1912,1,AB,27601,35,BJ,31863
1,271,1,AB,27601,28,BC,30886
1,1602,1,AB,27601,28,BC,30885
1,262,1,AB,28561,33,BH,32311
1,2602,1,AB,28621,45,BT,33683
1,2645,1,AB,29701,48,BW,35631
1,190,1,AB,29701,47,BV,35294
1,2371,1,AB,30841,27,BB,33657
1,1001,1,AB,30841,26,BA,33553
1,1105,1,AB,30841,42,BQ,35407
1,308,1,AB,30841,32,BG,34190
1,1722,1,AB,30841,36,BK,34614
1,1354,1,AB,30841,45,BT,35778
1,702,1,AB,30841,26,BA,33549
1,2369,1,AB,31741,43,BR,36423
1,1777,1,AB,31741,11,AL,33097
1,1667,1,AB,33001,47,BV,38932
1,2014,1,AB,33001,47,BV,38891
1,2476,1,AB,33001,47,BV,39218
1,1365,1,AB,33001,20,AU,35616
1,847,1,AB,33001,3,AD,33523
1,103,1,AB,33001,42,BQ,38245
1,2427,1,AB,33001,43,BR,38493
1,2171,1,AB,33001,36,BK,37298
1,290,1,AB,33001,42,BQ,38414
1,2113,1,AB,33001,31,BF,36742
1,1332,1,AB,33001,47,BV,39232
1,723,1,AB,33781,47,BV,39633
1,2309,1,AB,33781,44,BS,39130
1,2368,1,AB,33781,47,BV,39413
1,1962,1,AB,33781,9,AJ,35007
1,2503,1,AB,33781,46,BU,39348
1,1614,1,AB,34561,42,BQ,39577
1,773,1,AB,34561,18,AS,36666
1,87,1,AB,34561,42,BQ,39402
1,176,1,AB,34561,18,AS,36670
1,2672,1,AB,34561,42,BQ,39408
1,2739,1,AB,35341,34,BI,38775
1,499,1,AB,35341,7,AH,36107
1,944,1,AB,36181,32,BG,39695
1,1401,1,AB,36181,32,BG,39741
1,2474,1,AB,36241,48,BW,41934
1,2176,1,AB,36841,7,AH,37835
1,2244,1,AB,36841,10,AK,38274
1,1361,1,AB,36841,7,AH,37680
1,966,1,AB,36841,7,AH,37675
1,1128,1,AB,36841,46,BU,42123
1,1322,1,AB,36841,33,BH,40540
1,1285,1,AB,36841,34,BI,40620
1,1764,1,AB,36841,24,AY,39582
1,1902,1,AB,36841,46,BU,42117
1,1447,1,AB,38641,34,BI,42446
1,2409,1,AB,38641,42,BQ,43375
1,1703,1,AB,39361,44,BS,44741
1,228,1,AB,39421,44,BS,44779
1,2136,1,AB,40921,33,BH,44651
1,2289,1,AB,40921,30,BE,44314
1,896,1,AB,40981,34,BI,44823
1,1204,1,AB,40981,44,BS,46045
1,1233,1,AB,41761,2,AC,42002
1,1193,1,AB,41761,27,BB,44855
1,1163,1,AB,41761,48,BW,47572
1,2391,1,AB,41761,43,BR,46749
1,2747,1,AB,41761,48,BW,47574
1,1621,1,AB,41761,38,BM,46126
1,436,1,AB,41761,47,BV,47469
1,1695,1,AB,41761,41,BP,46512
1,2619,1,AB,41761,27,BB,44848
1,1900,1,AB,41761,48,BW,47576
1,2641,1,AB,41761,38,BM,46134
1,1949,1,AB,41761,45,BT,47081
1,2194,1,AB,41761,27,BB,44886
1,2704,1,AB,41761,43,BR,46672
1,2084,1,AB,41761,38,BM,46058
1,833,1,AB,41761,43,BR,46747
1,1646,1,AB,41761,37,BL,45987
1,2175,1,AB,41881,42,BQ,46913
1,2364,1,AB,41881,45,BT,47195
1,1678,1,AB,42481,47,BV,48159
1,1979,1,AB,42961,47,BV,48665
1,1941,1,AB,42961,36,BK,47297
1,164,1,AB,44041,32,BG,48116
1,168,1,AB,44041,35,BJ,48553
1,892,1,AB,44101,12,AM,46192
1,2534,1,AB,44101,42,BQ,49700
1,564,1,AB,44101,12,AM,46203
1,332,1,AB,44101,12,AM,46197
1,549,1,AB,44641,10,AK,46165
1,1116,1,AB,47041,43,BR,52190
1,2034,1,AB,48241,41,BP,52598
1,360,1,AB,48241,43,BR,52805
1,935,1,AB,48841,28,BC,52166
1,760,1,AB,49741,34,BI,52898
1,1127,1,AB,50281,34,BI,53835
1,729,1,AB,50281,34,BI,53801
1,1842,1,AB,51841,46,BU,56461
1,1196,1,AB,51841,15,AP,53513
1,370,1,AB,52621,34,BI,56236
1,1336,1,AB,53341,26,BA,56041
